CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,LSTAT,MEDV
6.1994,63.5,20.45,1,0.6,8.54,61.1,5.55,24,451.0,20.9,24.21,10.6
17.8619,60.0,10.78,0,0.609,6.46,59.2,4.51,9,380.0,20.1,34.55,47.1
38.2295,72.2,8.46,1,0.409,6.87,89.0,1.99,10,703.0,17.6,2.45,14.4
21.1446,13.5,26.87,1,0.833,4.68,76.8,1.51,24,688.0,21.9,25.64,11.7
34.9177,89.4,6.27,0,0.795,7.43,87.0,5.83,20,695.0,12.7,12.17,29.1
29.6376,4.2,21.36,0,0.575,3.78,7.8,4.82,2,299.0,20.7,11.84,7.1
28.3888,64.1,19.05,0,0.755,4.67,33.2,7.11,3,573.0,16.3,9.86,32.9
8.1191,61.5,8.85,1,0.534,3.53,33.2,8.83,24,691.0,16.6,31.57,25.4
78.5623,20.8,13.1,1,0.738,5.54,66.4,1.44,5,488.0,13.3,15.24,33.8
61.6527,4.1,4.43,0,0.633,8.01,46.0,6.46,4,296.0,12.3,4.14,17.8
55.4832,13.9,25.83,0,0.606,8.71,78.2,10.48,3,622.0,15.2,5.22,45.7
53.9781,27.2,27.12,0,0.408,7.04,39.7,6.01,19,655.0,13.7,7.09,17.2
35.2923,88.2,20.64,0,0.853,7.45,23.7,6.73,10,560.0,16.8,34.33,33.7
73.2761,85.6,23.86,0,0.79,4.89,30.5,6.35,7,339.0,13.5,17.22,47.5
82.774,6.4,2.77,0,0.769,6.26,19.9,5.29,12,283.0,13.4,34.95,23.0
0.5059,28.9,11.06,0,0.529,7.4,21.4,2.21,8,517.0,20.8,31.37,12.3
7.0542,88.9,9.6,0,0.522,6.14,23.3,2.39,5,441.0,21.2,32.12,8.1
